spp,timing,mean_tlp,lwr,upr,mean_lfm,lwr_lfm,upr_lfm
ABCO,fall,-2.054548087410175,-2.0914780507671287,-2.0176181240532216,146.21326548237292,144.3393061122037,148.08722485254214
ABCO,spring,-3.066468750862499,-3.102472382396642,-3.0304651193283556,NA,NA,NA
ADFA,fall,-3.3104515573430096,-3.3312111691036104,-3.2896919455824087,71.91001669516375,71.0774097227778,72.7426236675497
ARPA,fall,-2.2317407588407105,-2.2738502392148114,-2.1896312784666097,107.29096755738938,106.27571122320727,108.30622389157149
ARPA,spring,-2.162310264255322,-2.18726196720772,-2.1373585613029236,NA,NA,NA
CADE,fall,-2.2962612165854677,-2.3354065470218077,-2.2571158861491276,114.33839252606838,113.23598974880832,115.44079530332843
CADE,spring,-2.3654659960679623,-2.3785174942593836,-2.352414497876541,NA,NA,NA
CECO,fall,-2.7144899140764323,-2.7401117267544723,-2.688868101398392,228.21522040305697,213.13354911744986,243.2968916886641
CECO,spring,-2.334897997225351,-2.389048706313697,-2.280747288137005,NA,NA,NA
CEME,fall,-2.620938279942856,-2.6516307128696304,-2.590245847016082,92.51217811879995,91.82308535159333,93.20127088600657
PIJE,fall,-2.5372739931758246,-2.5818045560721536,-2.4927434302794955,143.88704518681294,140.97967003108604,146.79442034253984
PIJE,spring,-2.7070721233867965,-2.7184109510828947,-2.6957332956906983,NA,NA,NA
QUKE,fall,-2.8678212332375956,-2.918230576722555,-2.8174118897526363,110.61565913276587,109.61666355773794,111.6146547077938
