"","year","water.year","year.month","day","daily.rain","rainfall.2mo"
"1",2015,2016,"2015_11",3,0.02,0.61
"2",2015,2016,"2015_11",16,0.19,0.61
"3",2015,2016,"2015_12",14,0.19,0.61
"4",2015,2016,"2015_12",20,0.2,0.61
"5",2015,2016,"2015_12",23,0.01,0.61
"6",2019,2020,"2019_12",1,0.31,3.69
"7",2019,2020,"2019_12",2,0.01,3.69
"8",2019,2020,"2019_12",4,0.97,3.69
"9",2019,2020,"2019_12",5,0.21,3.69
"10",2019,2020,"2019_12",7,0.2,3.69
"11",2019,2020,"2019_12",8,0.43,3.69
"12",2019,2020,"2019_12",9,0.1,3.69
"13",2019,2020,"2019_11",27,0.75,3.69
"14",2019,2020,"2019_11",28,0.46,3.69
"15",2019,2020,"2019_11",29,0.25,3.69
"16",2017,2018,"2017_11",16,0.06,0.09
"17",2017,2018,"2017_11",17,0.03,0.09
"18",2019,2020,"2019_12",1,0.31,3.69
"19",2019,2020,"2019_12",2,0.01,3.69
"20",2019,2020,"2019_12",4,0.97,3.69
"21",2019,2020,"2019_12",5,0.21,3.69
"22",2019,2020,"2019_12",7,0.2,3.69
"23",2019,2020,"2019_12",8,0.43,3.69
"24",2019,2020,"2019_12",9,0.1,3.69
"25",2019,2020,"2019_11",27,0.75,3.69
"26",2019,2020,"2019_11",28,0.46,3.69
"27",2019,2020,"2019_11",29,0.25,3.69
"28",2020,2020,"2020_7",23,0.01,0.01
"29",2020,2020,"2020_8",31,0,0.01
